En plus des consignes générales, il y a des consignes particulières à chaque groupe. Pour savoir quelles consignes sont attribuées à votre groupe, référez-vous aux codes donnés ci-dessous.
Explication : Par exemple, le groupe POOA a reçu le code 269C.  Ceci veut dire que ce groupe doit répondre aux consignes particulières 2, 6, 9 et C, soit quatre questions. 

Groupe	code
POOA	269C
POOB	347B
POOC	267A
POOD	247A
POOE	358A
POOF	248B
POOG	157B
POOH	147B
POOI	268C
POOJ	168B
POOK	167B
POOL	367A
POOM	158B
POON	359C
POOO	257B
POOP	259B
POOQ	349A
POOR	258C
POOS	368B
POOT	348C
POOU	357C
POOV	369C
POOW	148A
POOX	149A
POOY	249A
POOZ	357B
